16000 -0.010666664533346193
32000 -0.08533326506585581
48000 -0.28799948160303757
64000 -0.6826644821339869
80000 -1.333326666688663
96000 -2.3039834112423705
112000 -3.658630811900366
128000 -5.461263428675011
144000 -7.775874029786792
160000 -10.666453335346887
176000 -14.196989761840086
192000 -18.43146916569094
208000 -23.433874587673927
224000 -29.26818599688704
240000 -35.998380034725415
256000 -43.68842975902953
272000 -52.40230438840808
288000 -62.20396904600784
304000 -73.1573845037492
320000 -85.32650692673633
336000 -98.77528761711437
352000 -113.56767275853781
368000 -129.76760316005675
384000 -147.4390140005853
400000 -166.64583457336994
416000 -187.45198802970117
432000 -209.92139112355653
448000 -234.11795395624358
464000 -260.10557972005336
480000 -287.9481644432526
496000 -317.7095967340865
512000 -349.4537575257127
528000 -383.2445198200876
544000 -419.1457484328421
560000 -457.2212997378083
576000 -497.53502141172066
592000 -540.1507521780441
608000 -585.1323215528391
624000 -632.5435495882994
640000 -682.4482466183836
656000 -734.9102130032843
672000 -789.9932388734305
688000 -847.7611038759351
704000 -908.277576917666
720000 -971.6064159116941
736000 -1037.8113675212953
752000 -1106.956166905351
768000 -1179.104537463747
784000 -1254.320190581493

